CustomerID,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,622,France,Male,69,0,151038.36766634046,4,1,1,138683.8682471089,0
2,439,France,Male,32,1,182460.71507949778,4,0,0,138103.778062839,1
3,744,Germany,Female,89,1,61365.81450486025,1,0,1,22460.694669644807,0
4,394,Germany,Male,78,2,91568.46977104746,4,0,0,104500.17881726533,1
5,719,Spain,Female,38,6,26444.017637492627,4,0,1,29667.113100684965,0
6,813,Spain,Male,41,6,246920.06957670834,3,1,0,97674.69607706579,1
7,449,France,Male,20,6,21469.412605783946,1,0,0,132696.07653223386,0
8,650,Germany,Male,39,0,42151.531280894356,2,0,0,104439.02345105857,0
9,415,Spain,Female,70,1,119957.98741603494,2,1,0,80960.58994268905,0
10,536,France,Male,19,7,216317.95838613482,1,0,1,144526.44479230721,0
11,569,France,Male,47,8,88970.50573698986,4,1,0,117057.81579228018,0
12,590,Germany,Male,55,9,192149.03688283646,3,0,0,52410.21845786447,1
13,733,Germany,Female,19,6,169008.51832905904,4,0,1,70301.79713676227,0
14,308,Spain,Male,81,0,159666.01928991973,2,1,0,118783.7934251953,1
15,774,Spain,Female,77,3,211254.31274171002,3,0,0,22510.85225508722,1
16,821,France,Male,38,9,3542.5724071564136,1,0,1,28315.22933127537,0
17,836,France,Male,50,7,232288.2596400979,4,1,0,131725.01319976966,1
18,310,France,Male,75,4,207306.5450840733,4,0,1,25582.978652402908,1
19,626,Spain,Female,39,0,234466.80491295678,3,0,0,108206.79935588992,1
20,575,Germany,Male,66,6,198396.97096417178,4,1,1,61457.77441725852,0
21,669,Spain,Male,76,5,219647.85186356812,1,0,0,127365.9233068122,1
22,789,Germany,Male,59,8,50769.512049869794,3,1,1,130154.98851898154,0
23,644,Spain,Male,77,3,79807.26671926264,1,1,1,143934.0840506247,0
24,667,Spain,Female,32,3,78805.25336768274,1,0,1,32421.44189487275,0
25,610,Germany,Male,79,7,27291.68646951419,1,1,0,74970.11119981544,0
26,784,Spain,Male,79,3,182394.8138211477,1,0,0,94614.61669419483,1
27,314,Spain,Male,64,2,34042.72317176821,4,1,1,139087.39434667537,0
28,303,France,Male,79,6,13127.29151976516,3,0,0,54646.83890630381,1
29,675,Germany,Female,68,4,193861.71751376597,4,0,1,29311.573794525735,0
30,668,Germany,Male,72,8,226165.79243298233,2,1,1,46229.400677233134,0
31,764,France,Male,81,4,191030.83699128332,1,1,0,84425.18208817467,1
32,832,Germany,Female,20,8,206338.0532079941,1,0,1,108536.63029624276,0
33,436,France,Male,68,5,148905.4194576928,2,0,0,109787.62277059803,0
34,662,Germany,Male,24,5,221936.58447868828,2,0,1,29706.229922260747,0
35,515,Germany,Male,38,10,124175.87058946378,1,0,0,118983.33439311464,0
36,667,Germany,Female,56,5,247080.65462186624,4,1,1,105831.12241852633,0
37,416,Germany,Male,35,6,25853.760692362226,4,1,1,72980.6143377358,0
38,478,France,Female,21,10,202295.17667534595,1,0,0,94241.21489498606,1
39,545,France,Female,77,3,160347.3540028188,3,0,0,119806.2580178941,1
40,427,Germany,Female,31,3,145161.51705529878,2,0,0,54072.05724008133,0
41,657,Spain,Female,26,8,181452.63271528034,4,1,1,142204.35544253507,0
42,377,France,Female,70,6,210072.88269971218,3,0,1,37909.78864311348,1
43,592,Germany,Female,19,10,215721.01671012747,1,0,0,137288.96552146284,1
44,381,France,Female,77,9,43845.240735996245,1,1,0,116311.53429574321,1
45,641,Spain,Male,88,5,49258.98243824231,4,0,0,105867.4205127952,0
46,637,Spain,Male,61,0,4041.627378399276,4,0,0,30778.039643628144,0
47,395,Spain,Female,25,6,32960.61444806819,1,1,0,139470.5989822395,1
48,444,Germany,Female,64,5,65970.62321248115,4,0,0,58392.94557025129,0
49,820,Germany,Female,52,3,180258.9556375707,4,0,0,116929.58682058222,1
50,696,Spain,Female,53,7,118941.87725062753,4,1,0,135024.18364969525,0
51,656,France,Female,67,6,189475.88389600435,1,0,0,51756.85414226385,1
52,485,France,Female,21,7,121633.96195497266,2,1,0,138898.1002147444,0
53,842,Spain,Male,19,8,138899.36322749208,3,1,1,99552.4143172236,0
54,450,Germany,Male,23,0,27766.64664839562,2,1,0,105674.13169867515,0
55,618,France,Female,71,2,194139.57116900812,1,0,1,138886.6752377578,0
56,358,France,Female,21,1,189531.6330498887,3,1,1,88475.53985387793,1
57,309,France,Female,71,2,76890.3979201549,1,1,1,77284.18249002506,0
58,423,Germany,Male,80,10,82144.51945010049,2,0,1,102320.12978481347,0
59,655,Spain,Female,35,10,54920.36264328387,1,0,1,92023.05721760566,0
60,645,Germany,Male,61,1,203459.9190090382,4,0,1,27991.84261815268,0
61,536,France,Male,51,10,186751.7004904451,4,1,1,43463.96610109706,0
62,632,Spain,Male,79,5,152286.9345460632,2,0,0,21763.64225999179,1
63,316,Germany,Female,31,8,59705.52578242436,4,0,0,34061.169134751006,1
64,723,Spain,Female,65,1,42963.33315343606,2,1,1,114880.45577108595,0
65,623,France,Male,32,3,12567.212793653276,1,1,1,20612.451034695416,0
66,322,Germany,Male,89,4,11402.87044462987,1,1,1,59572.7168990097,0
67,758,Spain,Male,79,4,46784.03495208175,2,0,1,78411.78256921866,0
68,759,Germany,Male,57,0,25133.13308080553,3,1,1,141915.5923828429,0
69,820,France,Female,70,5,139026.91823061075,2,0,0,62510.9123126891,0
70,720,Spain,Male,41,4,89522.53194861926,3,1,1,121806.99920407994,0
71,702,France,Female,43,5,111236.44554203657,2,0,1,73139.52534183736,0
72,630,Spain,Male,77,3,148516.79589679744,1,1,0,32803.879410583744,0
73,756,France,Female,58,10,164775.4363383784,4,1,1,32849.6872396008,0
74,782,France,Male,46,5,162050.4299706445,2,0,1,76216.39659772732,0
75,797,Germany,Female,32,8,65214.14670520811,3,1,1,27524.807097103498,0
76,326,France,Female,62,0,202406.75507402566,4,1,0,94310.5013639683,1
77,696,Germany,Female,82,5,229427.41747980745,3,1,1,84174.46559769419,0
78,487,France,Male,88,0,78984.58680579881,3,1,0,111329.5741405032,0
79,439,France,Female,26,6,4266.354141516993,3,1,0,44130.79882327776,0
80,820,France,Male,18,3,224788.54666212626,3,0,0,97080.8029844886,1
81,391,Spain,Female,25,5,230887.183238369,2,1,1,42687.921924909024,1
82,376,Germany,Female,80,6,12736.610103258383,4,1,1,113890.3827514444,0
83,543,Spain,Male,28,10,1239.1479648030668,4,1,1,59930.62557246184,0
84,387,Germany,Female,25,4,204101.19574818556,4,1,1,99874.10635087623,1
85,593,France,Female,52,8,75365.83862077665,4,0,0,134748.0438090294,0
86,394,Spain,Male,52,7,228645.54182399713,1,0,0,83470.4364036111,1
87,552,Germany,Female,50,2,54185.89331738666,1,0,1,44997.97429080377,0
88,698,France,Female,22,0,215288.65403164676,2,0,1,135195.97711959048,0
89,353,Germany,Female,58,10,17161.06743125917,4,0,1,66615.34153011497,0
90,542,Germany,Female,45,9,65159.211828493404,1,0,0,114932.87379512301,0
91,409,France,Male,24,7,243282.21978641028,4,1,1,61612.438208796455,0
92,520,Spain,Female,89,3,57799.16358282058,2,1,0,58768.00754461396,0
93,461,France,Female,29,6,33253.246018760285,3,1,1,103463.67371078828,0
94,334,Spain,Female,51,3,214263.66311824883,2,1,1,40320.48657677582,1
95,336,Germany,Female,50,6,29450.197940369766,1,0,0,132706.60321022914,1
96,669,Germany,Female,65,0,24364.027144875872,1,0,0,70391.11826136084,0
97,476,Germany,Female,40,0,80856.28354738395,1,0,0,22506.06667590505,0
98,820,Spain,Female,79,1,158832.1266492399,2,0,0,59706.74156937376,1
99,574,France,Female,54,4,177686.59344467393,2,0,0,122045.62219793526,1
100,404,Spain,Male,61,10,220309.69595684894,2,0,1,131716.65119352215,0
101,455,Germany,Male,52,9,135227.8814897765,4,0,1,93824.4360032891,0
102,635,Germany,Male,82,5,98354.44669024384,1,1,0,58234.2113455308,0
103,325,France,Male,64,1,89708.44045861629,2,0,1,88621.03347990992,0
104,595,Spain,Female,20,0,211725.6821193685,2,0,0,128728.78882211972,1
105,836,Germany,Female,18,8,180953.82737066637,4,1,0,61084.91786467286,1
106,654,Spain,Male,22,6,226357.25343128483,1,0,1,70106.80656747868,0
107,368,Spain,Male,31,7,241008.86393290354,3,1,1,90160.23728870576,1
108,626,France,Male,44,5,75012.70902095186,3,0,0,135327.96543718598,0
109,450,France,Female,26,8,132418.52967520987,1,1,0,95679.36139809045,0
110,619,Germany,Female,32,7,157955.20184120824,4,1,1,46989.970200264914,0
111,751,France,Male,59,3,40962.23669411439,1,0,1,31583.524937583297,0
112,411,Spain,Male,68,4,13336.758481246186,3,1,1,32351.814400622563,0
113,761,France,Male,80,1,216940.9785288284,2,1,0,143532.44459226413,1
114,661,Spain,Male,69,0,133880.8776888433,1,1,0,126913.62179050206,0
115,502,Germany,Male,21,5,142693.5540900098,3,1,0,119561.10971632671,0
116,786,Spain,Female,40,2,138728.5863569887,2,0,0,84527.39529210606,0
117,779,France,Male,32,10,188740.1762081726,1,1,0,107430.15024608636,1
118,303,France,Female,60,3,36375.48617051081,4,1,0,36552.939590521615,1
119,428,Germany,Male,46,0,153512.11019288315,3,0,1,100716.44303839304,0
120,325,France,Male,53,5,117369.87789440753,2,0,1,125401.49523524135,0
121,326,Germany,Female,30,7,224239.53987693109,2,1,1,28078.03623071273,1
122,341,Germany,Male,49,9,129905.23447408134,4,1,1,58499.55490020604,0
123,363,France,Female,88,3,235733.7435185414,3,0,0,34336.227537180675,1
124,324,Spain,Female,76,9,88313.24854497665,2,0,1,53829.51468884745,0
125,371,Germany,Male,45,7,241723.67659749763,4,1,0,120428.10334707866,1
126,781,Spain,Male,83,10,218789.48702294193,3,0,0,63166.391617436515,1
127,567,France,Female,59,9,146065.82243383868,4,1,1,109658.90022543372,0
128,394,Spain,Female,62,2,88427.48332975614,4,1,1,120529.32772283893,0
129,694,Spain,Male,79,10,93980.83936313997,4,0,0,126163.0297874077,0
130,663,Spain,Female,74,6,193188.0216145729,4,1,1,133538.80764308583,0
131,614,Spain,Male,23,2,145157.83779226113,3,0,0,97692.65556250942,0
132,416,France,Female,45,5,100396.89636733024,4,0,1,56483.17815995118,0
133,463,France,Male,45,3,159013.7403530411,4,0,1,39572.60915422584,0
134,605,Spain,Female,61,5,183308.3494752361,2,0,0,85482.12504772535,1
135,499,France,Female,47,6,5725.128139616481,3,1,1,33462.44009347168,0
136,479,France,Male,79,7,22465.700279377525,3,1,0,138394.1172676212,0
137,657,Germany,Female,79,5,23621.360101769795,4,1,0,77522.4309325866,0
138,551,France,Female,18,3,57983.451315833685,4,1,1,133487.93894237655,0
139,598,Spain,Female,44,8,106747.60980682849,1,1,0,112205.14987306527,0
140,729,France,Female,79,6,200912.47482313862,4,0,1,131438.2831681411,0
141,303,France,Female,20,8,87774.75874988936,3,1,1,134914.5516030935,0
142,553,France,Female,87,2,4369.447095151191,2,1,1,26928.154793609985,0
143,395,France,Female,89,4,120840.46323793224,3,0,1,114283.52021844128,0
